Main Category,Sub Category 1,Sub Category 2,name,type,MSB,LSB,PC#
PIANO,VRM Piano,,CFX Concert Grand,VRM,108,0,1
PIANO,VRM Piano,,Studio Grand,VRM,108,1,3
PIANO,VRM Piano,,Bosendorfer Grand,VRM,108,6,1
PIANO,VRM Piano,,Mellow Jazz Grand,VRM,108,3,3
PIANO,VRM Piano,,Rock Piano,VRM,108,16,3
PIANO,VRM Piano,,Stage Grand,VRM,108,2,3
PIANO,VRM Piano,,Themic Grand,VRM,108,6,2
PIANO,VRM Piano,,CFX 1Octave,VRM,108,22,2
PIANO,VRM Piano,,Ambient Piano,VRM,108,27,4
PIANO,VRM Piano,,CFX 2Octaves,VRM,108,23,2
PIANO,VRM Piano,,Mellow Piano,VRM,108,18,1
PIANO,VRM Piano,,CFX Cocktail Piano,VRM,108,28,4
PIANO,VRM Piano,,Pop Grand,VRM,108,17,2
PIANO,VRM Piano,,Concert Upright,VRM,108,5,3
PIANO,Grand Piano,,CFX Concert Grand,Natural!,0,122,1
PIANO,Grand Piano,,Studio Grand,Natural!,104,38,1
PIANO,Grand Piano,,Bosendorfer Grand,Natural!,104,18,1
PIANO,Grand Piano,,Mellow Jazz Grand,Natural!,104,45,1
PIANO,Grand Piano,,Rock Piano,Natural!,0,124,3
PIANO,Grand Piano,,Stage Grand,Natural!,104,44,1
PIANO,Grand Piano,,Themic Grand,Natural!,104,18,2
PIANO,Grand Piano,,CFX 1Octave,Natural!,0,123,4
PIANO,Grand Piano,,Ambient Piano,Natural!,104,19,4
PIANO,Grand Piano,,CFX 2Octaves,Natural!,0,124,4
PIANO,Grand Piano,,Mellow Piano,Natural!,0,124,1
PIANO,Grand Piano,,CFX Cocktail Piano,Natural!,104,20,4
PIANO,Grand Piano,,Pop Grand,Natural!,104,6,1
PIANO,Upright Piano,,Concert Upright,Natural!,104,17,2
PIANO,Upright Piano,,Pop Rock Upright,Natural!,104,16,2
PIANO,Upright Piano,,Stage Upright,Natural!,104,15,2
PIANO,Upright Piano,,Honky Tonk Upright,Natural!,104,13,4
PIANO,Upright Piano,,School Upright,Natural!,104,13,1
PIANO,Upright Piano,,Saloon Upright,Natural!,104,14,2
PIANO,Upright Piano,,70s Ballad Upright,Natural!,104,14,1
PIANO,Upright Piano,,Upright 1Octave,Natural!,104,14,4
PIANO,Upright Piano,,Chillout Upright,Natural!,104,15,1
PIANO,Upright Piano,,Upright 2Octaves,Natural!,104,15,4
PIANO,Piano Layer,,CFX Superstar Grand,Natural!,108,25,5
PIANO,Piano Layer,,Studio Superstar Grand,Natural!,104,34,1
PIANO,Piano Layer,,CFX Pad Production,Natural!,104,30,1
PIANO,Piano Layer,,Studio Pad Production,Natural!,104,35,1
PIANO,Piano Layer,,CFX Fat Pad,Natural!,104,43,1
PIANO,Piano Layer,,Studio Grand Pad,Natural!,104,41,1
PIANO,Piano Layer,,CFX Ballad Mix 1,Natural!,104,19,6
PIANO,Piano Layer,,Upright Synthetics,Natural!,104,21,4
PIANO,Piano Layer,,CFX Ballad Mix 2,Natural!,104,22,6
PIANO,Piano Layer,,Hybrid Rock Upright,Natural!,104,22,4
PIANO,Piano Layer,,CFX DX Layer,Natural!,108,33,3
PIANO,Piano Layer,,Bosendorfer DX Layer,Natural!,108,34,3
PIANO,Piano Layer,,Warm Pad Grand,Natural!,104,25,1
PIANO,Piano Layer,,Imperial Ballad,Natural!,108,26,5
PIANO,Piano Layer,,Atmosphere Grand,Natural!,104,24,6
PIANO,Piano Layer,,Imperial Cosmos,Natural!,104,42,1
PIANO,Piano Layer,,Celestial Grand,Natural!,104,36,1
PIANO,Piano Layer,,Shimmer Grand,Natural!,104,23,6
PIANO,Piano Layer,,CFX & Strings,Natural!,108,23,1
PIANO,Piano Layer,,Carillon Pad Grand,Natural!,104,37,1
PIANO,Piano Layer,,Piano & EP 1,Natural!,108,25,3
PIANO,Piano Layer,,MIDI Grand,Natural!,104,2,3
PIANO,Piano Layer,,Piano & EP 2,Natural!,108,26,3
PIANO,Piano Layer,,MIDI Grand Pad,Natural!,104,3,3
PIANO,Electric Piano,,70s Suitcase Clean,S.Art!,8,41,21
PIANO,Electric Piano,,70s Suitcase Pan,S.Art!,8,45,21
PIANO,Electric Piano,,70s Suitcase Amped,S.Art!,8,46,21
PIANO,Electric Piano,,70s Suitcase Tremolo,S.Art!,8,42,21
PIANO,Electric Piano,,70s Suitcase Warm 1,S.Art!,8,39,21
PIANO,Electric Piano,,70s Suitcase Warm 2,S.Art!,8,48,21
PIANO,Electric Piano,,70s Suitcase Phase,S.Art!,8,47,21
PIANO,Electric Piano,,70s Ambience EP,S.Art!,8,43,21
PIANO,Electric Piano,,70s Suitcase Ballad,S.Art!,8,44,21
PIANO,Electric Piano,,70s Meditation EP,S.Art!,8,51,21
PIANO,Electric Piano,,CP80 Electric Grand,Natural!,104,10,3
PIANO,Electric Piano,,70s Vintage EP,S.Art!,8,40,21
PIANO,Electric Piano,,CP80 Production,Natural!,104,11,3
PIANO,Electric Piano,,70s Vintage Drive EP,S.Art!,8,49,21
PIANO,Electric Piano,,CP80 Studio,Natural!,0,123,3
PIANO,Electric Piano,,70s Vintage Phase EP,S.Art!,8,50,21
PIANO,Electric Piano,,CP80 Honky Tonk,Cool!,104,15,3
PIANO,Electric Piano,,Suitcase Sweep Swell,Cool!,104,33,5
PIANO,Electric Piano,,Ballad Epic EP,Cool!,104,35,5
PIANO,Electric Piano,,Suitcase String Machine,Cool!,104,34,5
PIANO,FM E.Piano,,DX Sweet,Cool!,104,0,6
PIANO,FM E.Piano,,TX Bright,Cool!,104,10,6
PIANO,FM E.Piano,,DX Dynamic,Cool!,0,123,6
PIANO,FM E.Piano,,TX Mellow,Cool!,104,11,6
PIANO,FM E.Piano,,DX Production,Natural!,104,20,6
PIANO,FM E.Piano,,TX Warm,Cool!,104,12,6
PIANO,FM E.Piano,,DX Ballad Bells,Cool!,104,2,6
PIANO,FM E.Piano,,DX Dream,Cool!,104,3,6
PIANO,FM E.Piano,,DX Midnight,Cool!,104,1,6
PIANO,FM E.Piano,,DX Padded,Regular,104,21,6
PIANO,Clavi,,Clavi SW,S.Art!,8,33,21
PIANO,Clavi,,Clavi Funk SW,S.Art!,8,34,21
PIANO,Clavi,,Clavi Bright,Regular,0,112,8
